tweetid,tweet_txt,created_at,author_id,followers_count,likes,retweets,replies,geo
8111189783737503663,"@GuntherEagleman It’s literally the psychopaths trump bends over for that started the wars, but ok.",2021-02-25 19:38:01+00:00,3485263695,325713,5522,4875,468,Kansas
4790258700367658635,Wants to keep his loot from the man made virus and his wife’s position at Moderna duh.  They approved the poison mRNA and nvax had a time tested safe vaccine best to the day still!  It was an elite money grab and to take trump down plain as day to see when looking from outside.,2023-08-10 21:54:04+00:00,8863088161,649634,6560,3573,1169,Arizona
5004954526895787256,@PressSec @POTUS Sucks bc all of Joe's policies could be better than trump's (they're not) and he could be a better person (he's not that either) but what he's allowed at the border is unforgivable. I'd vote @HulkHogan over joe. This choice is easy,2021-12-07 10:12:19+00:00,8454216351,89382,8752,1080,75,Georgia
2180143980665875161,"Fuck you liar. Even if Joe Biden is on drugs, I prefer him over a national security threat and convicted fraud felon and rapist like trumpanzee",2020-04-14 01:03:32+00:00,2050282159,408596,6316,2879,1370,Virginia
9073135508906358827,@SatoshiFlipper calling next bluechip $TRUMP @trumpsolanacoin https://t.co/DBQ9XrOOrw,2023-09-08 12:08:55+00:00,4632047602,879433,5154,1366,1364,N/A
7879005019850892254,She's a trump pardoned CRIMINAL who betrayed AMERICA and it's Constitution! Worthless @RepMTG 🤮💩,2022-09-28 23:12:53+00:00,5621224944,638648,9300,2285,157,N/A
8141667038303250135,Trump's tenure was marked by significant events.,2023-10-28 19:17:12+00:00,2838186575,784101,7535,4801,1813,New Mexico
2827920497214931130,@SatoshiFlipper calling next bluechip $TRUMP @trumpsolanacoin https://t.co/DBQ9XrOOrw,2021-10-26 14:16:24+00:00,9489897970,108416,370,4990,1425,N/A
8859641469251004606,"@Acyn Trump loses America will be done with all trumps bull,America can be normal again",2022-03-05 03:32:28+00:00,1827544457,826700,3572,2315,1834,N/A
5485976848895877918,@thejackhopkins We watched this portion of the speech on CBS.  They made no mention of trump slurring his words.  My husband and I both noticed the slurring at the same time.  How can the media ignore trumps deteriorating mind?,2022-03-28 08:08:56+00:00,7018829356,709216,8933,3302,49,Kentucky
7538042471560993791,Trump's decisions on the war were controversial.,2022-06-02 01:12:22+00:00,9168056017,403170,3083,1172,657,N/A
3571552699670925155,#Biden  #FJB #joebiden #fuckjoebiden #bidencrimefamilly #trump2024 https://t.co/IAGedV9Swr,2020-08-08 03:41:24+00:00,3544483387,170181,7356,1341,16,Georgia
8172780017021240267,The Trump administration made many changes.,2020-12-08 04:00:12+00:00,4863500587,602615,8715,1028,1149,N/A
3116467338545227424,@joshua_bendavid @LeaderMcConnell You spelled trump wrong!,2020-08-28 11:48:03+00:00,1207919104,229237,699,208,1759,N/A
9238103549176452010,@RepMTG Can you quote what trump ran deficit up too? 😳😳😳😳,2022-06-22 21:46:22+00:00,6568700215,597933,2463,2805,465,Alabama
8422678728350250316,@nicksortor trump wears a diaper and rambles on about sharks and batteries lol,2021-08-11 13:30:42+00:00,7261344279,713366,7378,4989,1991,Nebraska
7114446772539328813,Trump's response to national issues was varied.,2021-07-12 04:09:11+00:00,1168641454,59943,8040,3297,1160,N/A
4407203947417795841,Trump's actions on climate crisis are debatable.,2021-03-30 04:28:31+00:00,5968113802,182500,9036,4610,953,Mississippi
8829379711086336864,@Nigel_Farage @LukeTryl @Moreincommon_ Gawd Farage has had trump training. https://t.co/DpBJAxcEzg@tedcruz Yep climate change is real and trump will not acknowledge it and wants to drill drill drill.  Pathetic,2020-12-14 20:28:29+00:00,4552960396,935078,3725,3913,1770,Washington
9577355088924395603,"@GuntherEagleman It’s literally the psychopaths trump bends over for that started the wars, but ok.",2023-07-20 21:50:21+00:00,5066187357,685680,9836,2123,1806,N/A
2158312610774558371,@joshua_bendavid @LeaderMcConnell You spelled trump wrong!,2021-10-03 05:01:49+00:00,1410496977,118067,1248,430,143,N/A
8088945183318381844,@TrumpDailyPosts @ANDRESLAYUS My future president. Vamos a gobernar con trump con el ARTE DE LA GUERRA. Y CON NICOLAS ( EL PRINCIPE ).  LONG LIVE FREEDOM DAMM IT.,2023-11-15 11:25:44+00:00,4409446825,994139,5596,193,1263,N/A
1974283222867712818,Trump's impact on healthcare reform is undeniable.,2022-06-18 06:19:12+00:00,3766814210,609873,5795,1093,1934,N/A
4257350503879874820,@jimstewartson Maybe - all the others want to remove trump (25th amendment) once the election is over.,2023-11-11 01:20:45+00:00,5809484661,82231,8836,455,1111,N/A
2127710354312453557,@RyanShead Seriously are you that stupid? Because trump is competent and the country was good when he was in office not this shit show with theses worthless fucking clowns in office,2022-05-28 18:19:24+00:00,6936798804,917654,7868,4569,568,Nevada
3316909657252581477,@norugpls @elonmusk @mollarstoken THE TEAM BEHIND IT 🔥🔥🔥 $TRUMP @trumpsolanacoin https://t.co/XFaaUSwCNW,2020-07-24 18:42:48+00:00,4759754874,330904,4866,4619,639,Florida
4813608234467325111,"@sarahkendzior Well, trump is the Republican candidate in all three elections, so there’s that.",2023-12-31 17:03:43+00:00,9004040935,855729,9874,1638,974,Maryland
6907981401648723687,@RpsAgainstTrump CUz trump screwed up and they can’t blame him.,2024-02-16 15:01:19+00:00,5026547045,644725,9226,977,368,N/A
5813748319023679724,Boden is the only trump coin that matters,2020-03-02 18:25:21+00:00,9728453528,716506,4253,2050,742,N/A
8840410817051740353,"Fuck you liar. Even if Joe Biden is on drugs, I prefer him over a national security threat and convicted fraud felon and rapist like trumpanzee",2020-06-07 10:40:07+00:00,5516681311,164035,2808,1966,1385,N/A
4990614686312357872,@ErrLJust @Dieselmann99 @trump_nasty @SerenaJB3 @inkblotistan Do you understand what a citation is?,2023-03-23 15:04:45+00:00,6572105416,65995,5045,4758,1530,Colorado
7248772403954987583,@simonateba @elonmusk He’s much better than Jack. Can’t plz everyone all the time but I think he’s doing ok. This platform is gonna help trump win 2024. 🔥🐸thx Elon.,2020-10-08 23:18:01+00:00,8770362534,972208,604,3400,371,N/A
5983960597640401342,Trump's administration faced many challenges.,2024-01-21 21:07:47+00:00,2059488150,838265,5236,3057,1894,South Carolina
6950548458357351796,"@Acyn This is reason enough to vote against trump.  He doesn't know how cryptocurrency works, and doesn't get that it has no value.",2020-10-28 16:22:15+00:00,4481795327,30134,8897,2405,852,N/A
4155002344513480944,@thejackhopkins We watched this portion of the speech on CBS.  They made no mention of trump slurring his words.  My husband and I both noticed the slurring at the same time.  How can the media ignore trumps deteriorating mind?,2021-11-10 13:41:43+00:00,8734979220,395692,3136,1096,256,Louisiana
5182065668982281646,@norugpls @elonmusk @mollarstoken THE TEAM BEHIND IT 🔥🔥🔥 $TRUMP @trumpsolanacoin https://t.co/XFaaUSwCNW,2022-02-12 00:55:57+00:00,6341012040,784448,8582,4437,1171,Illinois
2278432750039858631,Trump's tenure was marked by significant events.,2021-11-24 23:30:51+00:00,2678023899,782073,7080,3504,1704,Indiana
1214871310013370946,@jimstewartson Maybe - all the others want to remove trump (25th amendment) once the election is over.,2021-08-22 08:25:24+00:00,1465965228,507617,932,4652,12,Alabama
4092494215448859064,"I will say it till the end of time, style will ALWAYS trump realism in video games https://t.co/sVtnG2PV65",2021-09-24 08:44:18+00:00,8176623189,705258,9333,4850,1800,Alaska
5235650210640766660,#Biden  #FJB #joebiden #fuckjoebiden #bidencrimefamilly #trump2024 https://t.co/IAGedV9Swr,2020-05-13 12:01:37+00:00,7690025327,750458,8914,4674,502,New Jersey
3739706749898929208,Trump's tenure was marked by significant events.,2022-07-02 14:34:06+00:00,3540599983,683627,2342,2517,814,N/A
6849854762566604894,All aboard the #trump $train over at @trumptrainerc 🚂,2021-09-12 08:23:53+00:00,5487465401,758583,2355,363,1520,N/A
6488129656735482859,"@Acyn This is reason enough to vote against trump.  He doesn't know how cryptocurrency works, and doesn't get that it has no value.",2021-09-14 03:11:34+00:00,8649997398,382143,6603,4308,210,N/A
6749664341574878770,@BillChristeson @Gerashchenko_en The GOP is helping Putin and North Korea.  Why?  Is it all just to please trump?,2020-05-15 22:14:24+00:00,2529688484,24847,8821,4643,1385,N/A
5313435609909618597,Trump's response to national issues was varied.,2024-03-01 15:58:49+00:00,2810521693,126280,7714,2654,51,Pennsylvania
9930158091786600972,"We know. This is why we are confident that trump will have his 3erd term. We are in his second already. We are paused, and he is our war time president. #maga #trump2024",2021-03-13 10:39:28+00:00,8769495460,997917,1763,4978,1714,N/A
6493364680922979711,@officejjsmart Just missing trump in a gimp suit at putins feet,2020-03-08 15:43:39+00:00,7142577658,6042,5378,646,110,Wisconsin
6287240023035016241,"@Acyn Trump loses America will be done with all trumps bull,America can be normal again",2020-02-14 23:38:23+00:00,6939232680,742229,2220,2248,129,Nevada
9065967328738112259,@MELANIAJTRUMP @LogCabinGOP True gays don’t want trump…,2020-01-16 06:24:35+00:00,4673029649,689073,6879,634,294,N/A
1045679742811283559,@RyanShead Seriously are you that stupid? Because trump is competent and the country was good when he was in office not this shit show with theses worthless fucking clowns in office,2021-05-19 00:45:28+00:00,6264387739,498267,4768,3442,496,N/A
1327297213401206020,By the American people.  Get over it loser.  trump lost.,2021-03-14 12:58:05+00:00,5957391066,153833,596,3501,643,N/A
1261051877583205135,I support Trump's stance on economic issues.,2024-01-18 04:31:52+00:00,4610512713,630123,6555,4827,1495,Iowa
3169227990971181901,Trump's response to unemployment was criticized.,2024-05-23 14:29:41+00:00,5535256203,202389,3462,3812,276,N/A
2909301469545137483,@MELANIAJTRUMP @LogCabinGOP True gays don’t want trump…,2023-02-22 05:57:23+00:00,8292060306,264739,424,1413,1519,Alabama
3195669475377637891,@joshua_bendavid @LeaderMcConnell You spelled trump wrong!,2022-09-01 13:01:36+00:00,6326932137,340005,6018,3873,405,N/A
7249979668241526827,Trump's legacy will be discussed for years.,2020-10-22 19:42:40+00:00,2929630587,150681,205,2017,832,Kansas
1831359051248670681,Trump's decisions on the war were controversial.,2023-08-30 21:24:10+00:00,3425332077,1526,9555,829,745,Maryland
3020445531025733304,I support Trump's stance on economic issues.,2023-02-03 05:55:47+00:00,1258146284,742274,5468,289,1717,West Virginia
9304003770033587812,Trump's decisions on the war were controversial.,2021-11-23 01:59:00+00:00,6959959383,128245,599,2610,1193,N/A
3344622501195512841,Trump's actions on climate crisis are debatable.,2022-12-06 16:46:13+00:00,4938499607,978968,782,4911,67,N/A
7499830668815945706,Can you add how many people voted for trump and how many people voted for Biden and subtract that total from the total number of registered voters? Guess you are too stupid to figure that out,2020-01-03 13:13:36+00:00,8344228428,514977,5388,2003,1123,N/A
9745377263009030153,@ImMeme0 Joe and trump will hide in bunkers if it goes down both are cowards,2023-08-19 16:36:00+00:00,7571833826,660087,1086,3981,760,N/A
3218430195498596339,@ErrLJust @Dieselmann99 @trump_nasty @SerenaJB3 @inkblotistan Do you understand what a citation is?,2021-01-03 16:54:52+00:00,7100583394,481650,2247,1120,86,Arizona
8108941494584669790,"These toxic trump has beens are so desperate for engagement. Once trump is defeated, MAGA will go back into their pathetic holes.",2020-12-07 04:19:45+00:00,3608737678,829545,3396,3787,409,Kansas
9208579126957213661,The amount of days trump will get community service https://t.co/FPFOQhFDkZ,2023-08-18 08:19:39+00:00,7675069464,77258,6596,1617,1414,N/A
6124357074466563019,@joshua_bendavid @LeaderMcConnell You spelled trump wrong!,2020-08-07 09:47:47+00:00,8286776038,942097,9307,2279,29,N/A
9454145426590917760,"Racism my dear, trump tapped into their hatred. Obama was the best.💙 https://t.co/fhi2HhUSUz",2022-02-28 00:03:17+00:00,7148895854,843839,2312,1602,993,N/A
9706613289553392001,go trump https://t.co/yM76T0R9Iv,2022-11-21 10:49:03+00:00,5788852862,895090,4548,1769,370,Washington
6774252542279778856,Trump's recent statement caused quite a stir.,2020-04-25 05:51:20+00:00,3100928485,660195,2519,192,346,N/A
8498137720813756238,@RonFilipkowski You can be a trump girl without a brain.,2020-09-21 01:27:08+00:00,9813347954,293616,9239,4319,859,N/A
7943932727289778490,Trump's actions on climate crisis are debatable.,2022-11-18 08:16:41+00:00,6695379164,925405,4441,3616,367,South Carolina
3514659099479463487,Trump's rule saw significant economic changes.,2022-03-03 19:11:50+00:00,7987628437,698550,7613,3448,1690,N/A
7020275545842213362,@joshua_bendavid @LeaderMcConnell You spelled trump wrong!,2023-06-30 21:26:19+00:00,7179816956,62062,8229,230,1761,N/A
2724711861387578738,All aboard the #trump $train over at @trumptrainerc 🚂,2024-02-07 20:57:41+00:00,9868610267,774069,5411,3428,1748,Vermont
5470774340961125206,"Racism my dear, trump tapped into their hatred. Obama was the best.💙 https://t.co/fhi2HhUSUz",2022-09-24 16:02:50+00:00,9953457889,56479,6609,1600,1688,N/A
4895661154450448304,I also said some stuff about trump im totally sorry not lying https://t.co/OqyZAlGUhw,2020-05-26 12:34:17+00:00,9329293392,393428,316,2138,192,Rhode Island
8759632872041423258,go trump https://t.co/yM76T0R9Iv,2023-02-22 15:10:46+00:00,2253229036,678790,1858,2740,784,New York
